date,price,CPI,price_real
01/01/1969,2.462059091,35.6,6.915896323
02/01/1969,2.441994737,35.8,6.821214349
03/01/1969,2.394335,36.1,6.632506925
04/01/1969,2.392690476,36.3,6.591433819
05/01/1969,2.408704762,36.4,6.617320774
06/01/1969,2.397685714,36.6,6.551053864
07/01/1969,2.413471429,36.8,6.558346273
08/01/1969,2.406152381,37,6.503114543
09/01/1969,2.42002381,37.1,6.522975228
10/01/1969,2.478882609,37.3,6.645797879
11/01/1969,2.486878947,37.5,6.631677193
12/01/1969,2.461261905,37.7,6.528546166
01/01/1970,2.539145,37.8,6.717314815
02/01/1970,2.560231579,38,6.737451524
03/01/1970,2.600380952,38.2,6.80727998
04/01/1970,2.635413636,38.5,6.845230224
05/01/1970,2.69065,38.6,6.970595855
06/01/1970,2.791518182,38.8,7.194634489
07/01/1970,2.909709091,39,7.460792541
08/01/1970,2.816742857,39,7.222417582
09/01/1970,2.84572381,39.2,7.259499514
10/01/1970,2.984040909,39.4,7.573707891
11/01/1970,3.058889474,39.6,7.724468368
12/01/1970,2.9593,39.8,7.435427136
01/01/1971,3.05889,39.8,7.685653266
02/01/1971,3.059426316,39.9,7.667735127
03/01/1971,3.051434783,40,7.628586957
04/01/1971,2.922319048,40.1,7.287578672
05/01/1971,3.021635,40.3,7.497853598
06/01/1971,3.197668182,40.6,7.876030004
07/01/1971,3.370457143,40.7,8.281221481
08/01/1971,3.258640909,40.8,7.986864973
09/01/1971,3.1421,40.8,7.70122549
10/01/1971,3.187785714,40.9,7.794097101
11/01/1971,3.137219048,40.9,7.670462219
12/01/1971,3.138142857,41.1,7.635384081
01/01/1972,3.131628571,41.1,7.619534237
02/01/1972,3.2003,41.3,7.748910412
03/01/1972,3.416413636,41.4,8.252206851
04/01/1972,3.525615,41.5,8.495457831
05/01/1972,3.534027273,41.6,8.495257867
06/01/1972,3.47705,41.7,8.3382494
07/01/1972,3.488625,41.9,8.326073986
08/01/1972,3.433313043,42,8.174554865
09/01/1972,3.393995,42.1,8.061745843
10/01/1972,3.406036364,42.3,8.052095422
11/01/1972,3.681685,42.4,8.68321934
12/01/1972,4.172805263,42.5,9.818365325
01/01/1973,4.528019048,42.6,10.62915269
02/01/1973,5.803021053,42.9,13.5268556
03/01/1973,6.025795455,43.3,13.91638673
04/01/1973,6.28794,43.6,14.42188073
05/01/1973,8.382386364,43.9,19.09427418
06/01/1973,10.96263158,44.2,24.80233389
07/01/1973,9.283333333,44.3,20.95560572
08/01/1973,8.226347826,45.1,18.24023908
09/01/1973,6.443157895,45.2,14.2547741
10/01/1973,5.843772727,45.6,12.81529107
11/01/1973,5.677619048,45.9,12.36954041
12/01/1973,6.016736842,46.2,13.02323992
01/01/1974,6.2625,46.6,13.4388412
02/01/1974,6.451805556,47.2,13.66907957
03/01/1974,6.317738095,47.8,13.2170253
04/01/1974,5.600952381,48,11.66865079
05/01/1974,5.472386364,48.6,11.26005425
06/01/1974,5.524325,49,11.27413265
07/01/1974,7.10075,49.4,14.37398785
08/01/1974,7.812454545,50,15.62490909
09/01/1974,7.6815,50.6,15.18083004
10/01/1974,8.605217391,51.1,16.83995576
11/01/1974,7.919473684,51.5,15.3776188
12/01/1974,7.386333333,51.9,14.23185613
01/01/1975,6.485795455,52.1,12.44874367
02/01/1975,5.695157895,52.5,10.8479198
03/01/1975,5.598375,52.7,10.62310247
04/01/1975,5.717159091,52.9,10.8074841
05/01/1975,5.108333333,53.2,9.602130326
06/01/1975,5.083785714,53.6,9.48467484
07/01/1975,5.555568182,54.2,10.2501258
08/01/1975,6.064428571,54.3,11.16837674
09/01/1975,5.734404762,54.6,10.50257282
10/01/1975,5.256,54.9,9.573770492
11/01/1975,4.860526316,55.3,8.78937851
12/01/1975,4.645119048,55.5,8.36958387
01/01/1976,4.75297619,55.6,8.548518328
02/01/1976,4.806105263,55.8,8.613091869
03/01/1976,4.803695652,55.9,8.59337326
04/01/1976,4.811857143,56.1,8.57728546
05/01/1976,5.313875,56.5,9.405088496
06/01/1976,6.354795455,56.8,11.18802017
07/01/1976,6.831595238,57.1,11.96426487
08/01/1976,6.420590909,57.4,11.18569845
09/01/1976,6.810238095,57.6,11.82333003
10/01/1976,6.420642857,57.9,11.08919319
11/01/1976,6.683125,58,11.52262931
12/01/1976,6.932904762,58.2,11.91220749
01/01/1977,7.206547619,58.5,12.31888482
02/01/1977,7.405026316,59.1,12.52965536
03/01/1977,8.459021739,59.5,14.21684326
04/01/1977,9.879175,60,16.46529167
05/01/1977,9.545,60.3,15.8291874
06/01/1977,8.276886364,60.7,13.63572712
07/01/1977,6.322475,61,10.36471311
08/01/1977,5.385021739,61.2,8.799055129
09/01/1977,5.263928571,61.4,8.573173569
10/01/1977,5.318595238,61.6,8.634083179
11/01/1977,5.981309524,61.9,9.662858681
12/01/1977,5.967095238,62.1,9.608849015
01/01/1978,5.825952381,62.5,9.32152381
02/01/1978,5.719026316,62.9,9.092251694
03/01/1978,6.769204545,63.4,10.67697878
04/01/1978,7.0211,63.9,10.98763693
05/01/1978,7.14,64.5,11.06976744
06/01/1978,6.861681818,65.2,10.52405187
07/01/1978,6.4879,65.7,9.875038052
08/01/1978,6.323413043,66,9.580928854
09/01/1978,6.509625,66.5,9.788909774
10/01/1978,6.84675,67.1,10.2038003
11/01/1978,6.798875,67.4,10.08735163
12/01/1978,6.852925,67.7,10.12248892
01/01/1979,6.989431818,68.3,10.23342872
02/01/1979,7.470868421,69.1,10.81167644
03/01/1979,7.651136364,69.8,10.96151341
04/01/1979,7.4211,70.6,10.51147309
05/01/1979,7.369204545,71.5,10.30657978
06/01/1979,7.812857143,72.3,10.80616479
07/01/1979,7.638428571,73.1,10.44928669
08/01/1979,7.174108696,73.8,9.721014493
09/01/1979,7.131842105,74.6,9.560110061
10/01/1979,6.738608696,75.2,8.960915819
11/01/1979,6.773452381,75.9,8.924179685
12/01/1979,6.660657895,76.7,8.684038976
01/01/1980,6.6205,77.8,8.509640103
02/01/1980,6.592675,78.9,8.355735108
03/01/1980,6.316547619,80.1,7.88582724
04/01/1980,5.958928571,81,7.35670194
05/01/1980,6.248333333,81.8,7.638549307
06/01/1980,6.339119048,82.7,7.665198365
07/01/1980,7.481181818,82.7,9.046169067
08/01/1980,7.665880952,83.3,9.202738238
09/01/1980,8.386071429,84,9.983418367
10/01/1980,8.596130435,84.8,10.13694627
11/01/1980,9.254305556,85.5,10.82374919
12/01/1980,8.010642857,86.3,9.282320808
01/01/1981,7.861190476,87,9.035851122
02/01/1981,7.528552632,87.9,8.564906293
03/01/1981,7.555454545,88.5,8.537236775
04/01/1981,7.867452381,89.1,8.829912885
05/01/1981,7.705125,89.8,8.580317372
06/01/1981,7.221568182,90.6,7.970825808
07/01/1981,7.344522727,91.6,8.018037912
08/01/1981,6.920047619,92.3,7.497343033
09/01/1981,6.639880952,93.2,7.124335786
10/01/1981,6.583045455,93.4,7.048228538
11/01/1981,6.544875,93.7,6.984925293
12/01/1981,6.299954545,94,6.702079304
01/01/1982,6.422625,94.3,6.810843054
02/01/1982,6.310894737,94.6,6.671136085
03/01/1982,6.272608696,94.5,6.637681159
04/01/1982,6.546619048,94.9,6.89843946
05/01/1982,6.635375,95.8,6.926278706
06/01/1982,6.292340909,97,6.486949391
07/01/1982,6.158285714,97.5,6.316190476
08/01/1982,5.716659091,97.7,5.851237555
09/01/1982,5.484047619,97.9,5.601682961
10/01/1982,5.337214286,98.2,5.435045097
11/01/1982,5.730625,98,5.847576531
12/01/1982,5.680714286,97.6,5.820403981
01/01/1983,5.89702381,97.8,6.029676697
02/01/1983,5.920868421,97.9,6.04787377
03/01/1983,6.053369565,97.9,6.183217125
04/01/1983,6.37925,98.6,6.469827586
05/01/1983,6.308571429,99.2,6.359447005
06/01/1983,6.028863636,99.5,6.059159434
07/01/1983,6.628675,99.9,6.63531031
08/01/1983,8.512934783,100.2,8.495942897
09/01/1983,9.01047619,100.7,8.947841301
10/01/1983,8.446904762,101,8.363272041
11/01/1983,8.270238095,101.2,8.172172031
12/01/1983,7.89,101.3,7.788746298
01/01/1984,7.611309524,101.9,7.469391093
02/01/1984,7.239775,102.4,7.070092773
03/01/1984,7.890681818,102.6,7.69072302
04/01/1984,7.88575,103.1,7.648642095
05/01/1984,8.5375,103.4,8.256769826
06/01/1984,7.824904762,103.7,7.545713367
07/01/1984,6.650309524,104.1,6.38838571
08/01/1984,6.377956522,104.5,6.103307676
09/01/1984,6.105789474,105,5.815037594
10/01/1984,6.148543478,105.3,5.839072629
11/01/1984,6.223333333,105.3,5.910098132
12/01/1984,5.920175,105.3,5.622198481
01/01/1985,5.939545455,105.5,5.629900905
02/01/1985,5.833026316,106,5.502855015
03/01/1985,5.93952381,106.4,5.582259219
04/01/1985,5.992333333,106.9,5.605550359
05/01/1985,5.764659091,107.3,5.372468864
06/01/1985,5.7626,107.6,5.355576208
07/01/1985,5.515227273,107.8,5.116166301
08/01/1985,5.136909091,108,4.756397306
09/01/1985,5.12325,108.3,4.730609418
10/01/1985,5.060608696,108.7,4.655573777
11/01/1985,5.1095,109,4.687614679
12/01/1985,5.228333333,109.3,4.78347057
01/01/1986,5.420909091,109.6,4.946084937
02/01/1986,5.269078947,109.3,4.820749266
03/01/1986,5.358,108.8,4.924632353
04/01/1986,5.283045455,108.6,4.864682739
05/01/1986,5.338928571,108.9,4.902597403
06/01/1986,5.27347619,109.5,4.815959991
07/01/1986,5.135613636,109.5,4.690058115
08/01/1986,4.800357143,109.7,4.375895299
09/01/1986,4.795238095,110.2,4.351395731
10/01/1986,4.820130435,110.3,4.370018527
11/01/1986,5.003026316,110.4,4.531726735
12/01/1986,4.921772727,110.5,4.454092966
01/01/1987,4.966428571,111.2,4.466212744
02/01/1987,4.894631579,111.6,4.38587059
03/01/1987,4.9075,112.1,4.37778769
04/01/1987,5.134047619,112.7,4.555499218
05/01/1987,5.565625,113.1,4.920977011
06/01/1987,5.605659091,113.5,4.938906688
07/01/1987,5.344704545,113.8,4.696576929
08/01/1987,5.075380952,114.4,4.436521812
09/01/1987,5.247261905,115,4.562836439
10/01/1987,5.391727273,115.3,4.67625956
11/01/1987,5.691125,115.4,4.93165078
12/01/1987,5.966568182,115.4,5.170336379
01/01/1988,6.235125,115.7,5.389044944
02/01/1988,6.194275,116,5.339892241
03/01/1988,6.332173913,116.5,5.435342415
04/01/1988,6.7297,117.1,5.746968403
05/01/1988,7.398095238,117.5,6.296251266
06/01/1988,9.380568182,118,7.949634052
07/01/1988,8.8296,118.5,7.451139241
08/01/1988,8.532434783,119,7.170113263
09/01/1988,8.569166667,119.8,7.152893712
10/01/1988,7.940166667,120.2,6.605795896
11/01/1988,7.721785714,120.3,6.418774492
12/01/1988,7.819142857,120.5,6.488915234
01/01/1989,7.8675,121.1,6.496696945
02/01/1989,7.511657895,121.6,6.177350242
03/01/1989,7.735795455,122.3,6.325262023
04/01/1989,7.31025,123.1,5.938464663
05/01/1989,7.281704545,123.8,5.881829197
06/01/1989,7.195704545,124.1,5.798311479
07/01/1989,6.787225,124.4,5.45596865
08/01/1989,5.844,124.6,4.690208668
09/01/1989,5.7685,125,4.6148
10/01/1989,5.629454545,125.6,4.482049797
11/01/1989,5.843690476,125.9,4.641533341
12/01/1989,5.7691,126.1,4.575019826
01/01/1990,5.710227273,127.4,4.482125018
02/01/1990,5.665315789,128,4.426027961
03/01/1990,5.94,128.7,4.615384615
04/01/1990,6.0214,128.9,4.671373157
05/01/1990,6.299886364,129.2,4.876073037
06/01/1990,6.022166667,129.9,4.636002053
07/01/1990,6.081809524,130.4,4.663964359
08/01/1990,6.098826087,131.6,4.634366327
